State,mean_AQI,median_AQI,mean_PM25,mean_PM10,mean_NO2,mean_SO2,mean_O3,n_records,ARI_pct,Stunting_pct,Underweight_pct,Anaemia_pct,AQI_Category,AQI_Group,ARI_high,Stunting_high,Anaemia_high,Underweight_high,Health_Index,AQI_norm,Quadrant
Bihar,252.04467084639495,238.5,131.902082717873,197.3625,37.89582596872876,23.81608843537415,38.85789549033644,1276,3.521052631578948,42.58947368421053,41.72631578947368,70.07631578947368,Poor,High,1,1,1,1,0.8871573219086438,0.47220569253487554,"HIGH RISK
(High AQI + Poor Health)"
Gujarat,484.0483592400691,414.0,71.57521267723104,120.14625550660791,63.223481116584566,57.53016488046166,38.44739737991266,1158,1.1696969696969697,38.66060606060606,40.33030303030304,79.83636363636363,Severe,High,0,1,1,1,0.7349029420288873,1.0,"HIGH RISK
(High AQI + Poor Health)"
Jharkhand,162.95238095238096,131.0,68.58747863247864,152.90439058171745,9.122353760445684,35.29987421383648,28.546146131805155,609,2.216666666666667,40.1875,40.4,68.21666666666667,Moderate,High,0,1,0,1,0.7503749356655095,0.26952614131453667,"HIGH RISK
(High AQI + Poor Health)"
Madhya Pradesh,162.6095238095238,147.0,67.28849056603774,143.3742452830189,44.74905660377358,12.529056603773585,57.15688679245283,105,2.4901960784313726,35.37450980392157,33.180392156862744,71.67450980392157,Moderate,High,0,1,1,1,0.6521740689535608,0.2687461621274527,"HIGH RISK
(High AQI + Poor Health)"
Rajasthan,139.41602634467617,130.0,57.32610446137106,128.68203925845145,33.27958560523446,10.873068552774756,44.94849344978166,911,3.333333333333333,31.74242424242424,28.4,72.2,Moderate,High,1,0,1,0,0.6121708773009482,0.2159823633408505,"HIGH RISK
(High AQI + Poor Health)"
Uttar Pradesh,224.48479532163745,208.0,113.20092807424594,,33.56553274139844,10.182026106696934,37.34884380211229,1710,3.4880000000000004,39.63466666666667,32.31733333333334,66.40533333333333,Poor,High,1,1,0,1,0.7277809790232442,0.4095086487200711,"HIGH RISK
(High AQI + Poor Health)"
West Bengal,148.0245183887916,94.0,69.86244791666667,122.41234375,43.9802805280528,7.865887521968365,28.35299483648881,571,2.995,33.18,32.7,69.785,Moderate,High,1,1,1,1,0.6394494298676643,0.23556616016839618,"HIGH RISK
(High AQI + Poor Health)"
